sec	kind	item	dec	rt	fn	d1	d2	desc	group	tbl	pdf	doc	md
00	C	&00	0	RT		N/A	N/A	“Query” — use with user-selectable DeviceID=0 to get an “OK!” and a “DONE” reply with DeviceID returned.		5	14	10	451
00	C	&01	1	RT		0, 1	N/A	Enable/Disable received message notification (“OK!”): 0=OFF, 1=ON		5	14	10	454
00	C	&03	3	RT	a	0, 1	N/A	Enable/Disable synchronisation between the currently selected samples/programs/multis and those displayed on the LCD. 0=OFF, 1=ON		5	14	10	457
00	C	&04	4	RT		0, 1	N/A	Enable/Disable checksum verification: 0=OFF, 1=ON		5	14	10	461
00	C	&05	5	RT		0, 1	N/A	Enable/Disable automatic screen updating when a SysEx message is processed: 0=OFF, 1=ON		5	14	10	463
00	C	&06	6	RT		0–127	0–127, ; <Data3>=0–127, ; <Data4>=0–127	Echo Message: a special test function which will echo all 4 data bytes by returning them as a Reply. This is useful when debugging a controlling program.		5	14	10	466
00	C	&07	7	RT	b	0, 1	N/A	Enable/Disable “Still Alive” monitor: 0=OFF, 1=ON		5	14	10	470
02	C	&00	0			N/A	N/A	Get Operating System Software Version.		6	14	10	482
02	C	&01	1		a	N/A	N/A	Get the Sub-Version of the Operating System		6	14	10	483
02	C	&02	2	RT		char1	…0	Set sampler Name. Must end in a zero.		6	14	10	484
02	C	&03	3	RT	b	N/A	N/A	Get sampler Name. The name is returned as a character string in a REPLY message.		6	14	10	486
02	C	&04	4	RT		N/A	N/A	Get Sampler Model: REPLY message: 0=S5000, 1=S6000.		6	14	10	489
02	C	&05	5			N/A	N/A	Get Clock Time & Date		6	14	10	491
02	C	&06	6			0–16 (MSB year)	0–127 (LSB year) ; <Data3>=1–12 ; … ; <Data8>=0–59	Set Clock Time & Date: <Data1>, <Data2> = Year(1980–2079), <Data3> = Month(1–12), <Data4> = DayOfMonth(1–31), <Data5> = DayOfWeek(1–7, 1=Sunday), <Data6> = Hours(0–23), <Data7> = Minutes(0–59), <Data8> = Seconds(0–59).		6	15	11	498
02	C	&10	16			0, 1, 2	N/A	Set Play Mode: <Data1> = Play Mode to change to: 0=Multi, 1=Program; 2=Sample; 3=Muted.		6	15	11	503
02	C	&11	17			0, 1	N/A	Set Front panel lock-out state. 0=normal; 1=locked.		6	15	11	505
02	C	&20	32			N/A	N/A	Get Play Mode currently set.		6	15	11	506
02	C	&21	33			N/A	N/A	Get Front panel lock-out state.		6	15	11	508
02	C	&30	48			N/A	N/A	Get the percentage free Wave memory.		6	15	11	509
02	C	&31	49			N/A	N/A	Get the percentage free MPKS (multis, programs, keygroups and samples) memory.		6	15	11	510
02	C	&32	50			N/A	N/A	Clear Sampler Memory: all programs/multis/samples are deleted.		6	15	11	512
02	C	&33	51			N/A	N/A	Get the Total number of bytes of Wave memory.		6	15	11	513
02	C	&34	52			N/A	N/A	Get the number of bytes of free Wave memory.		6	15	11	514
02	R	&00	0			0–127	0–127	Operating System Version: <Data1>=major version number, <Data2>=minor version number		7	15	11	524
02	R	&01	1			0–127	N/A	Operating System Sub-Version. <Data1>=sub-version		7	15	11	526
02	R	&03	3			char1	…0	Character string representing the sampler’s name (ends in a zero).		7	15	11	527
02	R	&04	4			0, 1	N/A	Sampler Model. 0=S5000; 1=S6000.		7	15	11	528
02	R	&05	5			0–16 (MSB year)	0–127 (LSB year) ; <Data3>=1–12 ; … ; <Data8>=0–59	Get Clock Time & Date: <Data1>, <Data2> = Year(1980–2079), <Data3> = Month(1–12), <Data4> = DayOfMonth(1–31), <Data5> = DayOfWeek(1–7, 1=Sunday), <Data6> = Hours(0–23), <Data7> = Minutes(0–59), <Data8> = Seconds(0–59).		7	15	11	530
02	R	&20	32			0, 1, 2	N/A	Returns the current Play Mode: 0=Multi, 1=Program; 2=Sample; 3=Muted		7	15	11	506
02	R	&21	33			0, 1	N/A	Returns the front-panel lock-out state: 0=normal; 1=locked.		7	15	11	537
02	R	&30	48			0–100	N/A	Returns the % of Wave memory free (0–100%).		7	15	11	538
02	R	&31	49			0–100	N/A	Returns the % of MPKS memory free (0–100%).		7	15	11	539
02	R	&33	51			0–127(MSB)	…0–127(LSB)	A Compound Double Word (see page 9) representing the total bytes of wave memory installed.		7	15	11	540
02	R	&34	52			0–127(MSB)	…0–127(LSB)	A Compound Double Word (see page 9) representing the free bytes of wave memory.		7	15	11	542
04	C	&01	1	RT		0, 1	N/A	Program Change Enable: 0=OFF, 1=ON		8	16	12	553
04	C	&02	2	RT		0, 1, 2	N/A	Multi Select: 0=OFF, 1=PROG CHANGE, 2=BANK		8	16	12	555
04	C	&03	3	RT		0–31	N/A	Multi Select Channel: 1A=0, 2A=1, …, 16B=31		8	16	12	557
04	C	&04	4	RT		0–127	N/A	External APM Controller		8	16	12	560
04	C	&05	5	RT		0, 1	N/A	Aftertouch: 0=Channel, 1=Polyphonic		8	16	12	562
04	C	&06	6	RT		0–3	0–31	Enable MIDI filter for Port A & B. (allow messages) <Data1> : 0=NoteOn, 1=Aft’tch, 2=Wheels, 3=Volume <Data2> : Channel: 1A=0, 2A=1, …, 16B=31		8	16	12	563
04	C	&07	7	RT		0–3	0–31	Disable MIDI filter for Port A & B. (ignore messages) <Data1> : 0=NoteOn, 1=Aft’tch, 2=Wheels, 3=Volume <Data2> : Channel: 1A=0, 2A=1, …, 16B=31		8	16	12	567
06	C	&01	1			0, 1–4	char1…0	Set Zone Sample <Data2…0> = name of sample to assign to zone.	Setting Zone Parameters	9	16	12	584
06	C	&02	2	RT		0, 1–4	0, 1 ; <Data3>0–100	Set Zone Level <Data2> = sign (0 = +ve, 1 = −ve), <Data3> = absolute value.	Setting Zone Parameters	9	16	12	585
06	C	&03	3	RT		0, 1–4	14–114	Set Zone Pan/Balance <Data2> = Pan/Bal, where (14–114 = L50–R50); centre=&40{64}	Setting Zone Parameters	9	16	12	590
06	C	&04	4			0, 1–4	0–24	Set Zone Output <Data2> = output, where 0=MULTI, 1–8 =op1/2–op15/16, 9–24=op1–op16	Setting Zone Parameters	9	16	12	593
06	C	&05	5	RT		0, 1–4	0, 1 ; <Data3>0–100	Set Zone Filter <Data2> = sign (0 = +ve, 1 = −ve), <Data3> = absolute value.	Setting Zone Parameters	9	16	12	596
06	C	&06	6	RT		0, 1–4	0, 1 ; <Data3>0–50	Set Zone Fine Tune <Data2> = sign (0 = +ve, 1 = −ve), <Data3> = absolute value.	Setting Zone Parameters	9	16	12	571
06	C	&07	7	RT		0, 1–4	0, 1 ; <Data3>0–36	Set Zone Semitone Tune <Data2> = sign (0 = +ve, 1 = −ve), <Data3> = absolute value.	Setting Zone Parameters	9	16	12	605
06	C	&08	8			0, 1–4	0, 1	Set Zone Keyboard Track <Data2> = (0=OFF, 1=ON)	Setting Zone Parameters	9	16	12	609
06	C	&09	9			0, 1–4	0–6	Set Zone Playback <Data2> = mode, where 0=NO LOOPING, 1=ONE SHOT 2=LOOP IN REL, 3=LOOP UNTIL REL, 4=LIR→RETRIG, 5=PLAY→RETRIG, 6=AS SAMPLE	Setting Zone Parameters	9	17	13	617
06	C	&0A	10			0, 1–4	0, 1 ; <Data3>(MSB) ; <Data4>(LSB) ; (range ±9999)	Set Zone Velocity→Start <Data2> = sign (0 = +ve, 1 = −ve), <Data3> = absolute value (MSB), <Data4> = absolute value (LSB), (abs. value = LSB+128×MSB)	Setting Zone Parameters	9	17	13	621
06	C	&0B	11			0, 1–4	0–127	Set Zone High Velocity <Data2> = velocity	Setting Zone Parameters	9	17	13	628
06	C	&0C	12			0, 1–4	0–127	Set Zone Low Velocity <Data2> = velocity	Setting Zone Parameters	9	17	13	629
06	C	&0D	13			0, 1–4	0, 1	Set Zone Mute <Data2> = (0=OFF, 1=ON)	Setting Zone Parameters	9	17	13	630
06	C	&0E	14			0, 1–4	0, 1	Set Zone Solo <Data2> = (0=OFF, 1=ON)	Setting Zone Parameters	9	17	13	632
06	C	&21	33			0, 1–4	N/A	Get Zone Sample	Getting Zone Parameters	9	17	13	634
06	C	&22	34			0, 1–4	N/A	Get Zone Level	Getting Zone Parameters	9	17	13	636
06	C	&23	35			0, 1–4	N/A	Get Zone Pan/Balance	Getting Zone Parameters	9	17	13	637
06	C	&24	36			0, 1–4	N/A	Get Zone Output	Getting Zone Parameters	9	17	13	638
06	C	&25	37			0, 1–4	N/A	Get Zone Filter	Getting Zone Parameters	9	17	13	639
06	C	&26	38			0, 1–4	N/A	Get Zone Fine Tune	Getting Zone Parameters	9	17	13	640
06	C	&27	39			0, 1–4	N/A	Get Zone Semitone Tune	Getting Zone Parameters	9	17	13	641
06	C	&28	40			0, 1–4	N/A	Get Zone Keyboard Track	Getting Zone Parameters	9	17	13	642
06	C	&29	41			0, 1–4	N/A	Get Zone Playback	Getting Zone Parameters	9	17	13	643
06	C	&2A	42			0, 1–4	N/A	Get Zone Velocity→Start	Getting Zone Parameters	9	17	13	645
06	C	&2B	43			0, 1–4	N/A	Get Zone High Velocity	Getting Zone Parameters	9	17	13	647
06	C	&2C	44			0, 1–4	N/A	Get Zone Low Velocity	Getting Zone Parameters	9	17	13	648
06	C	&2D	45			0, 1–4	N/A	Get Zone Mute	Getting Zone Parameters	9	17	13	649
06	C	&2E	46			0, 1–4	N/A	Get Zone Solo	Getting Zone Parameters	9	17	13	650
06	R	&21	33			char1	…0	Get Zone Sample <Data1…0> = name of sample assigned to zone. If no sample is assigned, a single byte (<Data1>=0) will be returned.	Getting Zone Parameters	10	18	14	672
06	R	&22	34			0, 1	0–100	Get Zone Level <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Getting Zone Parameters	10	18	14	674
06	R	&23	35			14–114	N/A	Get Zone Pan/Balance <Data1> = Pan/Bal, where (14–114 = L50–R50); centre=&40{64}	Getting Zone Parameters	10	18	14	677
06	R	&24	36			0–24	N/A	Get Zone Output <Data1> = output, where 0=MULTI, 1–8 =op1/2–op15/16, 9–24=op1–op16	Getting Zone Parameters	10	18	14	679
06	R	&25	37			0, 1	0–100	Get Zone Filter <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Getting Zone Parameters	10	18	14	682
06	R	&26	38			0, 1	0–50	Get Zone Fine Tune <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Getting Zone Parameters	10	18	14	685
06	R	&27	39			0, 1	0–36	Set Zone Semitone Tune <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Getting Zone Parameters	10	18	14	688
06	R	&28	40			0, 1	N/A	Get Zone Keyboard Track <Data1> = (0=OFF, 1=ON)	Getting Zone Parameters	10	18	14	691
06	R	&29	41			0–6	N/A	Get Zone Playback <Data1> = mode, where 0=NO LOOPING, 1=ONE SHOT 2=LOOP IN REL, 3=LOOP UNTIL REL, 4=LIR→RETRIG, 5=PLAY→RETRIG, 6=AS SAMPLE	Getting Zone Parameters	10	18	14	692
06	R	&2A	42			0, 1	<Data2>(MSB) ; <Data3>(LSB) ; (range ±9999)	Get Zone Velocity→Start <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value (MSB), <Data3> = absolute value (LSB), (abs. value = LSB+128×MSB)	Getting Zone Parameters	10	18	14	696
06	R	&2B	43			0–127	N/A	Get Zone High Velocity <Data1> = velocity	Getting Zone Parameters	10	18	14	703
06	R	&2C	44			0–127	N/A	Get Zone Low Velocity <Data1> = velocity	Getting Zone Parameters	10	18	14	705
06	R	&2D	45			0, 1	N/A	Get Zone Mute <Data1> = (0=OFF, 1=ON)	Getting Zone Parameters	10	18	14	706
06	R	&2E	46			0, 1	N/A	Get Zone Solo <Data1> = (0=OFF, 1=ON)	Getting Zone Parameters	10	18	14	707
08	C	&01	1			0, 1–99	N/A	Select Keygroup to be current <Data1> = Keygroup number. If <Data1> = 0, then ALL Keygroups will be selected.		11	19	15	722
08	C	&02	2			N/A	N/A	Get which Keygroup is currently selected.		11	19	15	724
08	C	&04	4			21–127	N/A	Set Low Note. <Data1> = note, where: 21–127 = A-1–G8	Setting General Options	11	19	15	727
08	C	&05	5			21–127	N/A	Set High Note. <Data1> = note, where: 21–127 = A-1–G8	Setting General Options	11	19	15	728
08	C	&06	6			0, 1–32	N/A	Set Mute Group <Data1> = (0=OFF, 1–32=value)	Setting General Options	11	19	15	729
08	C	&07	7			0, 1–4	N/A	Set FX override <Data1> = (0=OFF, 1=FX1, 2=FX2, 3=RV3, 4=RV4)	Setting General Options	11	19	15	730
08	C	&08	8			0–100	N/A	Set FX Send Level <Data1> = level	Setting General Options	11	19	15	731
08	C	&09	9			0, 1	N/A	Set Zone Crossfade <Data1> = (0=OFF, 1=ON)	Setting General Options	11	19	15	733
08	C	&0A	10			N/A	N/A	Get Low Note	Getting General Options	11	19	15	735
08	C	&0B	11			N/A	N/A	Get High Note	Getting General Options	11	19	15	737
08	C	&0C	12			N/A	N/A	Get Mute Group	Getting General Options	11	19	15	738
08	C	&0D	13			N/A	N/A	Get FX override	Getting General Options	11	19	15	739
08	C	&0E	14			N/A	N/A	Get FX Send Level	Getting General Options	11	19	15	740
08	C	&0F	15			N/A	N/A	Get Zone Crossfade	Getting General Options	11	19	15	741
08	C	&10	16	RT		0, 1	0–36	Set Semitone Tune. <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Set Keygroup Pitch/Amp	11	19	15	743
08	C	&11	17	RT		0, 1	0–50	Set Fine Tune. <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Set Keygroup Pitch/Amp	11	19	15	747
08	C	&12	18	RT		0–10	N/A	Set Keygroup Level <Data1> = value in dB, where: 0=−30dB, 1=−24dB, 2=−18dB, 3=−12dB, 4=−6dB, 5=0dB 6=6dB, 7=12dB, 8=18dB, 9=24dB, 10=30dB.	Set Keygroup Pitch/Amp	11	19	15	751
08	C	&13	19	RT		1, 2	0, 1 ; <Data3>0–100	Set Pitch Mod Value. <Data1> = Pitch Mod (1 or 2) <Data2> = sign (0 = +ve, 1 = −ve), <Data3> = absolute value.	Set Keygroup Pitch/Amp	11	19	15	755
08	C	&14	20	RT		1	0, 1 ; <Data3>0–100	Set Amp Mod Value. <Data1> = Amp Mod (1 only) <Data2> = sign (0 = +ve, 1 = −ve), <Data3> = absolute value.	Set Keygroup Pitch/Amp	11	19	15	759
08	C	&18	24			N/A	N/A	Get Semitone Tune.	Get Keygroup Pitch/Amp	11	19	15	764
08	C	&19	25			N/A	N/A	Get Fine Tune.	Get Keygroup Pitch/Amp	11	19	15	766
08	C	&1A	26			N/A	N/A	Get Keygroup Level.	Get Keygroup Pitch/Amp	11	19	15	767
08	C	&1B	27			1, 2	N/A	Get Pitch Mod Value. <Data1> = Pitch Mod (1 or 2)	Get Keygroup Pitch/Amp	11	19	15	768
08	C	&1C	28			1	N/A	Get Amp Mod Value. <Data1> = Amp Mod (1 only)	Get Keygroup Pitch/Amp	11	20	16	775
08	C	&20	32			0–25	N/A	Set Filter Mode <Data1> = mode, where: 0=2-POLE LP, 1=4-POLE LP, 2=2-POLE LP+, 3=2-POLE BP, 4=4-POLE BP, 5=2-POLE BP+, 6=1-POLE HP, 7=2-POLE HP, 8=1-POLE HP+, 9=LO<>HI, 10=LO<>BAND, 11=BAND<>HI, 12=NOTCH 1, 13=NOTCH 2, 14=NOTCH 3, 15=WIDE NOTCH, 16=BI-NOTCH, 17=PEAK 1, 18=PEAK 2, 19=PEAK 3, 20=WIDE PEAK, 21=BI-PEAK, 22=PHASER 1, 23=PHASER 2, 24=BI-PHASE, 25=VOWELISER	Set Filter	11	20	16	777
08	C	&21	33	RT		0–100	N/A	Set Filter Cutoff Frequency, <Data1> = value.	Set Filter	11	20	16	786
08	C	&22	34	RT		0–15	N/A	Set Filter Resonance, <Data1> = value.	Set Filter	11	20	16	788
08	C	&23	35	RT		0, 1	0–36	Set Filter Keyboard Track, <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Set Filter	11	20	16	791
08	C	&24	36	RT		1, 2, 3	0, 1 ; <Data3>0–100	Set Filter Mod Input Value. <Data1> = Mod Input (1, 2 or 3) <Data2> = sign (0 = +ve, 1 = −ve), <Data3> = absolute value.	Set Filter	11	20	16	795
08	C	&25	37	RT		0–5	N/A	Set Filter Attenuation. <Data1> = value, where: 0=0dB, 1=6dB, 2=12dB, 3=18dB, 4=24dB, 5=30dB.	Set Filter	11	20	16	798
08	C	&28	40			N/A	N/A	Get Filter Mode	Get Filter	11	20	16	802
08	C	&29	41			N/A	N/A	Get Filter Cutoff Frequency	Get Filter	11	20	16	804
08	C	&2A	42			N/A	N/A	Get Filter Resonance	Get Filter	11	20	16	805
08	C	&2B	43			N/A	N/A	Get Filter Keyboard Track	Get Filter	11	20	16	806
08	C	&2C	44			1, 2, 3	N/A	Get Filter Mod Input Value. <Data1> = Mod Input (1, 2 or 3)	Get Filter	11	20	16	807
08	C	&2D	45			N/A	N/A	Get Filter Attenuation.	Get Filter	11	20	16	808
08	C	&30	48	RT		0–100	N/A	Set Filter Envelope Attack. <Data1> = value.	Set Filter Envelope	11	20	16	811
08	C	&31	49			0, 1	0–100	Set Filter Envelope Velocity→Attack <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Set Filter Envelope	11	20	16	813
08	C	&32	50	RT		0–100	N/A	Set Filter Envelope Decay <Data1> = value	Set Filter Envelope	11	20	16	816
08	C	&33	51	RT		0–100	N/A	Set Filter Envelope Sustain <Data1> = value	Set Filter Envelope	11	20	16	819
08	C	&34	52	RT		0–100	N/A	Set Filter Envelope Release <Data1> = value	Set Filter Envelope	11	20	16	821
08	C	&35	53			0, 1	0–100	Set Filter Envelope On Velocity→Release <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Set Filter Envelope	11	20	16	824
08	C	&36	54			0, 1	0–100	Set Filter Envelope Keyscale <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Set Filter Envelope	11	20	16	827
08	C	&37	55	RT		0, 1	0–100	Set Filter Envelope Depth <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Set Filter Envelope	11	20	16	830
08	C	&38	56			0, 1	0–100	Set Filter Envelope Off Velocity→Release <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Set Filter Envelope	11	20	16	834
08	C	&40	64			N/A	N/A	Get Filter Envelope Attack.	Get Filter Envelope	11	20	16	838
08	C	&41	65			N/A	N/A	Get Filter Envelope Velocity→Attack	Get Filter Envelope	11	20	16	841
08	C	&42	66			N/A	N/A	Get Filter Envelope Decay	Get Filter Envelope	11	20	16	843
08	C	&43	67			N/A	N/A	Get Filter Envelope Sustain	Get Filter Envelope	11	20	16	844
08	C	&44	68			N/A	N/A	Get Filter Envelope Release	Get Filter Envelope	11	21	17	851
08	C	&45	69			N/A	N/A	Get Filter Envelope On Velocity→Release	Get Filter Envelope	11	21	17	853
08	C	&46	70			N/A	N/A	Get Filter Envelope Keyscale	Get Filter Envelope	11	21	17	855
08	C	&47	71			N/A	N/A	Get Filter Envelope Depth	Get Filter Envelope	11	21	17	856
08	C	&48	72			N/A	N/A	Get Filter Envelope Off Velocity→Release	Get Filter Envelope	11	21	17	858
08	C	&50	80	RT		0–100	N/A	Set Amplitude Envelope Attack. <Data1> = value.	Set Amplitude Envelope	11	21	17	861
08	C	&51	81			0, 1	0–100	Set Amplitude Envelope Velocity→Attack <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Set Amplitude Envelope	11	21	17	863
08	C	&52	82	RT		0–100	N/A	Set Amplitude Envelope Decay <Data1> = value	Set Amplitude Envelope	11	21	17	866
08	C	&53	83	RT		0–100	N/A	Set Amplitude Envelope Sustain <Data1> = value	Set Amplitude Envelope	11	21	17	868
08	C	&54	84	RT		0–100	N/A	Set Amplitude Envelope Release <Data1> = value	Set Amplitude Envelope	11	21	17	870
08	C	&55	85			0, 1	0–100	Set Amplitude Envelope On Velocity→Release <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Set Amplitude Envelope	11	21	17	872
08	C	&56	86			0, 1	0–100	Set Amplitude Envelope Keyscale <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Set Amplitude Envelope	11	21	17	874
08	C	&57	87			0, 1	0–100	Set Amplitude Envelope Off Velocity→Release <Data1> = sign (0 = +ve, 1 = −ve), <Data2> = absolute value.	Set Amplitude Envelope	11	21	17	878
08	C	&58	88			N/A	N/A	Get Amplitude Envelope Attack	Get Amplitude Envelope	11	21	17	882
